id	rate
48419	1
51159	1
72015	1
1067	1
2013	1
13005	1
13109	1
13315	1
22025	1
26153	1
27155	1
28051	1
28145	1
29155	1
31077	1
38097	1
46059	1
48111	1
48421	1
56027	1
72017	1
72103	1
22059	1
30005	1
30075	1
72107	1
5017	1
13081	1
13319	1
17101	1
21229	1
27057	1
28093	1
29161	1
39159	1
40153	1
45009	1
46023	1
72063	1
8057	1
13227	1
16023	1
19077	1
27165	1
28159	1
30045	1
46123	1
48047	1
48079	1
48117	1
49047	1
54091	1
72111	1
13279	1
19185	1
28163	1
29205	1
30011	1
31015	1
41069	1
48083	1
48153	1
51133	1
8063	1
13053	1
17139	1
20185	1
21085	1
22035	1
30087	1
31017	1
46069	1
48305	1
2070	1
5133	1
13155	1
22107	1
31147	1
38061	1
48227	1
54097	1
1047	1
5099	1
5135	1
13287	1
21057	1
28115	1
31149	1
40025	1
47067	1
48195	1
48449	1
49055	1
72073	1
5137	1
8103	1
13125	1
13243	1
13289	1
17047	1
19159	1
19195	1
21091	1
30019	1
30095	1
38075	1
47177	1
48129	1
48197	1
48267	1
48399	1
72037	1
1085	1
2270	1
8105	1
13163	1
20207	1
31057	1
35011	1
46037	1
48493	1
54103	1
72039	1
72079	1
72133	1
13167	1
21063	1
21165	1
48275	1
48317	1
48495	1
72041	1
16077	1
17189	1
19029	1
19165	1
21097	1
21207	1
22117	1
28125	1
29145	1
30103	1
31103	1
32015	1
38033	1
46087	1
48101	1
72043	1
72087	1
13101	1
17153	1
21169	1
22119	1
28129	1
40003	1
45067	1
46043	1
48499	1
49031	1
72147	1
13173	1
19135	1
28133	1
29115	1
31065	1
31167	1
37131	1
40141	1
48105	1
48503	1
8115	1
12067	1
20081	1
20163	1
21039	1
28085	1
29117	1
30069	1
31169	1
35023	1
40007	1
45035	1
51157	1
72095	1
13177	1
13269	1
20047	1
20129	1
22093	1
28017	1
28141	1
29087	1
30037	1
31071	1
38041	1
38095	1
39121	1
51017	2
72057	2
1099	2
13219	2
19141	2
20049	2
20131	2
21075	2
21109	2
31039	2
38043	2
40043	2
45005	2
47085	2
55137	2
72059	2
13043	2
13273	2
19073	2
20135	2
21077	2
21181	2
28021	2
29195	2
38007	2
40045	2
40149	2
46021	2
48075	2
48293	2
54085	2
8023	2
17035	2
29199	2
30077	2
31129	2
31181	2
37005	2
46063	2
48045	2
72109	2
13321	2
17169	2
20139	2
20179	2
29203	2
37177	2
40085	2
48385	2
48429	2
48477	2
72025	2
1109	2
16061	2
17173	2
20023	2
27029	2
27167	2
31139	2
35033	2
39163	2
45049	2
46067	2
47127	2
48387	2
8095	2
16029	2
16065	2
17009	2
18101	2
31049	2
37181	2
40055	2
47097	2
48225	2
2230	2
19083	2
20105	2
22037	2
39071	2
40123	2
46077	2
47099	2
48193	2
72123	2
17013	2
18171	2
26135	2
29005	2
29211	2
30055	2
37187	2
40061	2
47175	2
48229	2
48489	2
56041	2
72035	2
13093	2
20111	2
20201	2
28117	2
31151	2
38023	2
40127	2
48023	2
48311	2
72075	2
5067	2
13061	2
19161	2
20067	2
29075	2
37083	2
40029	2
8073	2
