"93553","6037","1"
"80936",\N,"1"
"45802",\N,"1"
"93712",\N,"1"
"66642",\N,"1"
"81225","8051","1"
"97640","41037","1"
"9053",\N,"1"
"66856","20031","1"
"81415","8029","1"
"46104","18139","1"
"97815",\N,"1"
"35187","1117","1"
"9356",\N,"1"
"24",\N,"1"
"46164","18013","1"
"97885","41063","1"
"9787",\N,"1"
"28111",\N,"1"
"67123","20015","1"
"17778","42035","1"
"28177",\N,"1"
"801",\N,"1"
"82832","56019","1"
"46390","18091","1"
"55564",\N,"1"
"35700",\N,"1"
"94512","6095","1"
"67586",\N,"1"
"98181",\N,"1"
"10256",\N,"1"
"98238","53057","1"
"35976","1009","1"
"56008",\N,"1"
"10561",\N,"1"
"83732",\N,"1"
"18536",\N,"1"
"56078","27013","1"
"36363",\N,"1"
"18676",\N,"1"
"47042","18137","1"
"56296","27155","1"
"98522",\N,"1"
"18956",\N,"1"
"47326","18001","1"
"98586","53049","1"
"28810",\N,"1"
"68883","31001","1"
"84126",\N,"1"
"47387","18065","1"
"56469","27001","1"
"29055","45023","1"
"69127","31101","1"
"84328","49005","1"
"47463",\N,"1"
"98723",\N,"1"
"69646",\N,"1"
"56676","27007","1"
"29304",\N,"1"
"70064",\N,"1"
"47735",\N,"1"
"98946","53037","1"
"95385","6077","1"
"29404","45019","1"
"57077","46083","1"
"85046",\N,"1"
"11640",\N,"1"
"2133",\N,"1"
"95548","6015","1"
"70542","22023","1"
"2187",\N,"1"
"48102",\N,"1"
"70606",\N,"1"
"85280",\N,"1"
"11855",\N,"1"
"2423",\N,"1"
"85325","4012","1"
"37861","47057","1"
"58650","38001","1"
"99819",\N,"1"
"30001",\N,"1"
"71072","22119","1"
"59002","30111","1"
"12087","36001","1"
"95914","6007","1"
"71254","22035","1"
"59200",\N,"1"
"85729",\N,"1"
"48431",\N,"1"
"59468","30013","1"
"38232","47131","1"
"2827","44003","1"
"20370",\N,"1"
"59677",\N,"1"
"12307","36093","1"
"96092","6103","1"
"2939",\N,"1"
"20661",\N,"1"
"48737","26001","1"
"12451","36039","1"
"72122","5119","1"
"48819","26065","1"
"30330",\N,"1"
"72217",\N,"1"
"96764","15001","1"
"30412","13209","1"
"72454","5021","1"
"12592","36027","1"
"30505",\N,"1"
"72603",\N,"1"
"87364","35045","1"
"20913",\N,"1"
"49044",\N,"1"
"39191","28029","1"
"12751","36105","1"
"12824","36113","1"
"3787",\N,"1"
"87645",\N,"1"
"39502",\N,"1"
"39629","28085","1"
"12966","36033","1"
"30888",\N,"1"
"73035",\N,"1"
"3896",\N,"1"
"49344","26005","1"
"4029","23005","1"
"88316","35027","1"
"31112",\N,"1"
"73136",\N,"1"
"88920",\N,"1"
"21626","24019","1"
"40152","21027","1"
"4212",\N,"1"
"21706",\N,"1"
"40253",\N,"1"
"40389",\N,"1"
"13352","36065","1"
"31626","13027","1"
"89162",\N,"1"
"60966","17075","1"
"31776",\N,"1"
"13548",\N,"1"
"31913",\N,"1"
"49970","26013","1"
"41012",\N,"1"
"13647","36089","1"
"74365","40041","1"
"89834","32007","1"
"61332","17099","1"
"32125",\N,"1"
"74555","40005","1"
"4762","23003","1"
"22433","51137","1"
"77266",\N,"1"
"41236",\N,"1"
"74840","40125","1"
"77353",\N,"1"
"41564","21195","1"
"14008","36063","1"
"90166",\N,"1"
"41845","21133","1"
"32318",\N,"1"
"5061","50017","1"
"50562","19147","1"
"61751","17107","1"
"90346",\N,"1"
"42220","21219","1"
"14237",\N,"1"
"51011","19167","1"
"14458",\N,"1"
"32568","12033","1"
"23126","51097","1"
"62079","17083","1"
"14515",\N,"1"
"32631","12001","1"
"90812",\N,"1"
"62239","17163","1"
"77834",\N,"1"
